dataset,regulation,num,paragraph
dispensa com nota ou sem?,"A implantação dar-se-á por registro acadêmico, sob forma de dispensa:
I – sem nota, com a carga horária e número de créditos ou horas-aula fixados nas resoluções dos cursos da UFCG, quando cursadas em outra IES;
II – com nota, carga horária e número de créditos ou horas-aula fixados nas resoluções
dos cursos da UFCG, quando cursadas na própria Instituição.",Art. 64,"Parágrafo único. Não será permitido o aproveitamento de estudos ao aluno que integralizar disciplina extracurricular, exceto quando expressamente previsto na resolução do curso."
Posso cursar a graduação em menos tempo?,"Poderá ter abreviada a duração do curso de graduação na UFCG, o aluno que
comprovar extraordinário aproveitamento nos estudos, nos termos de Resolução específica da
Câmara Superior de Ensino.",Art. 65,
Posso aproveitar cadeiras no meio do curso de graduação?,"Poderá solicitar extraordinário aproveitamento nos estudos, no âmbito do seu
curso de graduação, o aluno que:
I – estiver regularmente matriculado em disciplinas no curso objeto da solicitação e
possua Coeficiente de Rendimento Acadêmico – CRA igual ou superior a 9,0(nove); 
II – tiver concluído, pelo menos, 50% (cinqüenta por cento) da carga horária total estabelecida para a conclusão do curso;
III – não apresentar, em seu histórico acadêmico devidamente atualizado, qualquer das
seguintes situações:
a) matrícula institucional;
b) reprovação por nota ou por falta;
c) ausência de matrícula em disciplinas em qualquer um dos períodos letivos.",Art. 66,
Como cursar a graduação em menos tempo?,"A abreviação da duração do curso de graduação somente será concedida,
quando:
I – garantir processo de ensino-aprendizagem de alto padrão de qualidade;
II – não for superior a 1/3 (um terço) do número de dias letivos correspondentes aos
períodos letivos que integram o termo médio estabelecido para o respectivo curso;
III – garantir procedimentos de avaliação de todo o conjunto dos conteúdos curriculares para complementar a integralização do referido curso e com, no mínimo, o mesmo grau de
qualidade acadêmica que o do curso objeto da solicitação;
IV – a carga horária semanal de atividades curriculares não ultrapasse a 30% (trinta
por cento) do máximo estabelecido para o respectivo curso.",Art. 67,
Quem determina o calculo de Rendimento acadêmico,"A verificação do rendimento acadêmico, respeitada a autonomia didática do
professor, far-se-á segundo as normas do Regimento Geral da Universidade, deste Regulamento, e demais normas emanadas da Câmara Superior de Ensino.",Art. 68,
Como se da a verificação do rendimento acadêmico,"A verificação de que trata o artigo anterior será realizada ao longo do período
letivo, em cada disciplina, compreendendo:
I – apuração de frequência às atividades didáticas;
II – avaliação do aproveitamento acadêmico.",Art. 69,"§ 1º Entende-se por frequência o comparecimento do aluno às atividades didáticas
previstas e realizadas na programação da disciplina.
§ 2º A avaliação de que trata o inciso II deste artigo deve ser considerada como acompanhamento contínuo de desempenho das atividades acadêmicas do aluno, e como resultado
final do processo ensino-aprendizagem, conforme estabelecido no projeto pedagógico do curso."
Quando sei que fui aprovado na disciplina ,"Será considerado aprovado na disciplina, o aluno que obtiver: 
I – no mínimo, 75% (setenta e cinco por cento) da frequência às atividades didáticas
respectivas, programadas para o período letivo, e
II – média final igual ou superior a 5 (cinco), no período letivo correspondente.",Art. 70,"§ 1º O aproveitamento acadêmico será expresso por nota compreendida entre 0 (zero)
e 10 (dez), atribuída a cada verificação parcial e ao exame final.
§ 2º Não haverá abono de faltas, ressalvados os casos previstos em legislação específica."
,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
Quando sei que fui aprovado na disciplina sem exame final,"Será considerado aprovado na disciplina, com dispensa do exame final, o aluno que:
I – cumprir o mínimo da frequência exigida nas atividades didáticas, e 
II – obtiver média aritmética das notas dos exercícios acadêmicos igual ou superior a 7
(sete).",Art. 72,
Em que caso posso fazer o exame final?,"Terá direito ao exame final o aluno que cumprir a frequência obrigatória exigida nas atividades didáticas e que tiver obtido no mínimo 4 (quatro) na média aritmética dos
exercícios acadêmicos.",Art. 73,"§ 1º O exame final constará de prova, após o encerramento do período letivo, abrangendo o conjunto do conteúdo programático da disciplina.
§ 2º Em cada disciplina será aprovado o aluno que obtiver média ponderada igual ou
superior a 5 (cinco), atribuindo-se peso 6 (seis) à média dos exercícios acadêmicos e peso 4
(quatro) à nota do exame final."
Perdi o exame final e agora?,"Terá direito a uma segunda chamada o aluno que, não tendo comparecido ao
exame final, comprove impedimento legal ou motivo de doença, atestado por serviço médico
da Instituição.",Art. 74,"§ 1º O candidato a exame de segunda chamada deverá requerê-lo ao Coordenador do
Curso, por si ou por procurador legalmente constituído, no prazo de 3 (três) dias úteis após o
exame final.
§ 2º A data da realização do exame de segunda chamada será definida pelo Coordenador de Curso em comum acordo com o professor da disciplina."
Em que casos estou reprovado," Será considerado reprovado o aluno que se enquadrar em uma das seguintes
situações:
I – não cumprir o mínimo da frequência exigida nas atividades didáticas;
II – não obtiver, no cômputo geral das notas dos exercícios acadêmicos, a média aritmética mínima 4 (quatro);
III – não obtiver média ponderada final igual ou superior a 5 (cinco), atribuindo-se peso 6 (seis) à média dos exercícios acadêmicos e peso 4 (quatro) à nota do exame final.",Art. 75,
Aproximação de nota,"No cálculo da média dos exercícios acadêmicos e da média final, serão desprezadas as frações menores que 0,05 (cinco centésimos) e aproximadas para 0,1 (um décimo)
as iguais ou superiores.",Art. 76,
Posso pedir revisão de nota,"O aluno poderá requerer, ao Coordenador do Curso no qual está matriculado,
revisão de exercícios de verificação do aproveitamento acadêmico nas respectivas disciplinas,
no prazo de até 03 (três) dias úteis, a contar da data de publicação da nota.",Art. 77,"§ 1º. O pedido de revisão deverá ser instruído com exposição de motivos, com especificação, devidamente fundamentada, do conteúdo em que o aluno se julgar prejudicado. 
§ 2º. A revisão será realizada pelo professor que ministra a disciplina, salvo na hipótese de impedimento legal."
Onde verifico a revisão das minhas notas ,"Concluídos os trabalhos de revisão, a Unidade Acadêmica responsável pela
disciplina publicará o resultado em local apropriado.",Art. 78,"§ 1º O aluno terá o prazo de 03 (três) dias úteis, a contar da data de publicação do resultado, para tomar ciência, sendo-lhe permitido o acesso a toda a documentação do processo,
inclusive cópia do exercício acadêmico, sob pena de preclusão.
§ 2º Caso haja impedimento legal do professor ou o aluno discorde do resultado da revisão, poderá recorrer no prazo de 03 (três) dias úteis, a partir da ciência a que se refere o parágrafo anterior, ao Coordenador do Curso a que está vinculado.
§ 3º O Coordenador do Curso a que o aluno está vinculado solicitará à UA responsável
pela disciplina que designe uma Comissão de 03 (três) docentes para proceder a nova e última
revisão, sem a participação do professor da disciplina."
Onde vejo a correção da minha nota,"Esgotados os procedimentos de que trata esta subseção, a Unidade Acadêmica
a que está vinculado o aluno enviará o processo para a Coordenação de Controle Acadêmico
para arquivamento na pasta do aluno.",Art. 79,
Posso pedir revisão de nota,"Nas disciplinas cuja avaliação final é realizada através de banca examinadora,
não caberá pedido de revisão de nota.",Art. 80,
Existe recuperação na UFCG,"O Regime Especial de Recuperação – RER, como alternativa pedagógica,
possibilita ao aluno o prosseguimento na sequência curricular, recuperando o tempo de integralização do curso.",Art. 81,
Em que casos posso pedir regime de recuperação,"Poderá requerer o RER, o aluno que atender aos seguintes requisitos:
I – obtiver na disciplina a ser recuperada média final igual ou superior a 4 (quatro);
II – tiver frequência igual ou superior a 75% (setenta e cinco por cento).",Art. 82,
Quantas disciplinas posso pedir regime de recuperação,"O aluno que atenda aos requisitos poderá cursar até duas disciplinas em RER
por período, até o máximo de 10% do número mínimo de disciplinas necessárias para a integralização curricular.",Art. 83,Parágrafo único. A reprovação em disciplina cursada em RER implica na obrigatoriedade de cursá-la em regime regular. 
Quem determina regimes especiais,"Este Regime Especial será regulamentado em resolução específica da Câmara
Superior de Ensino.",Art. 84,
Regime domiciliar em que casos,"Poderá requerer regime de exercício domiciliar, na forma da lei:
I – aluna em estado de gravidez, a partir do oitavo mês de gestação;
II – aluno acometido de doenças infectocontagiosas ou outros estados que impossibilitem sua frequência às atividades didáticas, desde que se verifique a conservação das condições intelectuais e emocionais necessárias para o prosseguimento da atividade acadêmica;
III – mãe adotiva, por até 90 dias a contar da adoção;
IV – aluno que necessite prestar assistência a ascendentes, descendentes, cônjuges ou
companheiros, que requeiram tratamento especializado ou que se encontrem em estado terminal.",Art. 85,Parágrafo único. O regime de exercício domiciliar somente se aplica ao aluno matriculado em disciplinas no período letivo em curso.
Quais documentos eu preciso para regime domiciliar,"A solicitação da inclusão em regime de exercício domiciliar deverá ser dirigida ao Coordenador do Curso ao qual o aluno está vinculado, mediante a apresentação dos
seguintes documentos:
I – horário acadêmico individual;
II – documento médico original e sem rasuras;
III – laudo médico fornecido pelo Serviço Médico da Universidade, constando o período necessário de afastamento das atividades acadêmicas;
IV – documentação comprobatória nas hipóteses dos incisos III e IV do artigo anterior.",Art. 86,"Parágrafo único. O requerimento de inclusão no regime de exercícios domiciliares
deverá ser encaminhado, pelo aluno ou por procurador legalmente constituído, no prazo de até
5 (cinco) dias úteis de ausência às atividades acadêmicas e terá caráter de prioridade e urgência."
Quem comunica aos professores em caso de regime domiciliar,"O Coordenador do Curso notificará às Unidades Acadêmicas envolvidas, informando o período de ausência, as disciplinas e turmas em que o aluno se encontra matriculado.",Art. 87,
Qual procedimento dos professores em caso de regime domiciliar,"O docente responsável pela disciplina organizará programação de regime de
exercício domiciliar observando que:
I – no caso de afastamento de até 15 dias, o regime acadêmico consistirá em:
a) compensação da ausência às aulas, mediante exigência de exercício acadêmico, versando sobre conteúdos tratados no período correspondente ao afastamento, fixando-se o prazo
para realização; 
b) permissão para realizar em data especial, exercício de verificação aplicado em classe durante o período do afastamento do aluno.
II – no caso de afastamento por tempo superior a 15 dias, o regime de exercício domiciliar deverá consistir na execução, pelo aluno, de tarefas programadas pelo docente.",Art. 88,"Parágrafo único. Da programação de que trata o inciso II, deverão constar os assuntos a serem estudados pelo aluno, a bibliografia a ser consultada e o calendário de exercícios
de verificação de aprendizagem, levando-se em consideração as possibilidades da Unidade
Acadêmica e o período de ausência previsto."
Em caso de estagio e regime domiciliar ,"Estando o aluno matriculado em Estágio Supervisionado, Estágio Integrado
ou disciplina predominantemente de caráter prático, ser-lhe-á estabelecido horário especial
para cumprimento da programação prática, após o retorno às atividades acadêmicas.",Art. 89,"Parágrafo único. Somente será estabelecido horário especial quando for possível assegurar a continuidade do processo pedagógico de aprendizagem e garantir a realização de,
pelo menos, 75% das atividades práticas programadas. "
Quanto tempo tenho para entregar atividades do regime domiciliar,"As atividades deverão ser integralizadas até a data estabelecida para matrícula no período subsequente, em qualquer das hipóteses de aplicação do regime de exercício
Domiciliar.",Art. 90,
Não consegui regime domiciliar,"Na impossibilidade de aplicar ao aluno o regime de exercício domiciliar na
forma prevista nos artigos anteriores, ser-lhe-á assegurado o direito de trancamento da matrícula em disciplinas, em qualquer época do período letivo.",Art. 91,
O que é estagio,"O estágio curricular é um componente do projeto pedagógico do curso, devendo ser inerente ou complementar à formação acadêmica profissional, como instrumento de
articulação entre teoria e prática.",Art. 92,
Quais os objetivos do estagio,"O Sistema de Estágio da Universidade Federal de Campina Grande tem por
objetivos gerais:
I – dar oportunidade ao aluno um contato mais direto e sistemático com a realidade
profissional, visando à concretização dos pressupostos teóricos, por meio da aplicação dos
conhecimentos adquiridos no curso;
II – capacitar o aluno para atividades de investigação, análise e intervenção na realidade profissional específica;
III – viabilizar a realização de experiências em situações concretas, relacionadas com a
área de conhecimento do curso;
IV – possibilitar ao aluno a participação na elaboração e na execução de projetos, estudos e pesquisas em órgãos públicos e privados.",Art. 93,
Posso aproveitar estagio de qualquer empresa,"O estágio curricular somente poderá ocorrer em instituições conveniadas e
que tenham condições de proporcionar experiência prática na área de formação acadêmica,
devendo o aluno, para esse fim, ter cumprido as exigências estabelecidas no projeto pedagógico de seu curso.",Art. 94,
A carga horaria do estagia é contabilizada no período,"A jornada de atividade em estágio, quando ocorrer simultaneamente com outras atividades de caráter acadêmico, a ser cumprida pelo aluno, deverá compatibilizar-se com
o seu horário de aulas.",Art. 95,"Parágrafo único. O estagiário poderá perceber auxílio ou bolsa, durante a sua permanência no estágio, caso lhe tenha sido conferido."
Creditos do estagio são aproveitados,"O número de créditos ou horas-aula atribuídos para a realização do Estágio
Curricular será fixado no Projeto Pedagógico do Curso. ",Art. 96,
quem organiza as condicoes do estagio,"À Coordenação de Programas e Estágios – CPE da Pró-Reitoria de Ensino da
Universidade Federal de Campina Grande cabe criar condições estruturais e operacionais para
o desenvolvimento dos estágios em todas as áreas de conhecimento afetas à Universidade,
com a colaboração dos Centros e das Unidades Acadêmicas.",Art. 97,
Posso procurar estagio por fora,"O aluno poderá procurar vaga diretamente no campo de estágio, devendo comunicar ao Coordenador do Curso, que tomará as providências necessárias e encaminhará a
demanda à CPE da Pró-Reitoria de Ensino, que verificará o atendimento às exigências da legislação pertinente.",Art. 98,"§ 1º São considerados campos de estágio as empresas públicas, privadas, órgãos governamentais ou instituições onde o aluno possa desenvolver suas atividades.
§ 2º São igualmente campos de estágios as unidades administrativas e acadêmicas da
UFCG."
As vagas de estagio são divulgadas,"A Pró-Reitoria de Ensino, por meio da CPE divulgará as vagas disponibilizadas pelas organizações mencionadas no artigo anterior.",Art. 99,
Em que area devo fazer o estagio,"O aluno deverá realizar o estágio sob a orientação de um professor designado pela Unidade Acadêmica vinculada ao Curso, e sob a supervisão, no campo de estágio, de
um profissional de nível superior, da área de formação, idêntica ou correlata à do estagiário.",Art. 100,
Quem avalia o aproveitamento do estagio,O aproveitamento do aluno no estágio será avaliado de acordo com o estabelecido no sistema de verificação acadêmica e na legislação específica. ,Art. 101,
Posso receber remuneração pelo estagio,"O estágio não cria vínculo empregatício de qualquer natureza, e o estagiário
poderá perceber bolsa ou outra forma de contraprestação que venha a ser acordada, ressalvando o que dispuser a legislação previdenciária, devendo o aluno, em qualquer hipótese, estar
segurado contra acidentes pessoais.",Art. 102,
Tem contrato o estagio,"A realização do estágio dar-se-á mediante termo de compromisso celebrado
entre o aluno e a parte concedente, com interveniência obrigatória da Instituição.",Art. 103,
Tem normas os estagios,"Todos os participantes do sistema de estágio sujeitam-se ao Estatuto, ao Regimento Geral da Universidade Federal de Campina Grande e demais normas.",Art. 104,
Principios de programas academicos,"A UFCG desenvolverá programas acadêmicos norteados pelos seguintes
princípios:
I – indissociabilidade entre ensino, pesquisa e extensão;
II – transdiciplinaridade do conhecimento e de suas concepções pedagógicas;
III – educação propedêutica, voltada para a valorização do trabalho e da vida social.",Art. 105,
Quem cria os programas acadêmicos,"Poderá haver criação ou extinção de programas acadêmicos, por proposta da
Pró-Reitoria de Ensino, devidamente fundamentada, submetida à apreciação da Câmara Superior de Ensino.",Art. 106,
Quem pode ser monitor,"O Programa de Monitoria destina-se a alunos regularmente matriculados nos
cursos de graduação da UFCG.",Art. 107,
Quais objetivos da monitoria,"São objetivos do Programa de Monitoria:
I – possibilitar o estabelecimento de novas metodologias e experiências pedagógicas;
II – promover a cooperação acadêmica entre discentes e docentes;
III – criar condições de aprofundamento teórico-metodológico e o desenvolvimento de
habilidades relacionadas à atividade docente;
IV – propiciar ao aluno de graduação a possibilidade de otimizar seu potencial didático-pedagógico e acadêmico.",Art. 108,
Quais modalidades da monitoria,"O Programa de Monitoria terá duas modalidades:
I – Monitoria Remunerada;
II – Monitoria Voluntária.",Art. 109,"Parágrafo único. Essas duas modalidades atendem aos mesmos objetivos e obedecem
às mesmas regras."
Qual vinculo da monitoria,"O vínculo do aluno com o Programa de Monitoria será estabelecido por
meio de contrato firmado com a Universidade Federal de Campina Grande, através da PróReitoria de Ensino.",Art. 110,"Parágrafo único. O monitor exercerá suas atividades em regime de 12 (doze) horas
semanais, sem qualquer vínculo empregatício com a Universidade, sob a orientação de um
Professor."
Quem organiza a monitoria ,"O Programa de Monitoria será regido por regulamentação complementar da
Câmara Superior de Ensino. ",Art. 111,
PROLICEN quem pode participar?,O Programa Institucional de Apoio e Aprimoramento dos Cursos de Licenciatura – PROLICEN destina-se a alunos regularmente matriculados nos cursos de licenciaturas da UFCG.,Art. 112,
Qual o objetivo dos cursos de licenciatura?,"O Programa de Licenciaturas da UFCG objetiva:
I – concorrer para a melhoria da qualidade do processo formativo desenvolvido nos
cursos de licenciatura da Instituição;
II – estimular, nos estudantes das licenciaturas, o pensamento científico, a autonomia
intelectual e a criatividade, pelo enfrentamento das condições objetivas de realização da pesquisa, do ensino, e da extensão.",Art. 113,
O prolicen tem contrato?,"O vínculo do aluno com o PROLICEN será estabelecido por meio de contrato firmado com a Universidade Federal de Campina Grande, através da Pró-Reitoria de Ensino.",Art. 114,"Parágrafo único. O bolsista exercerá suas atividades sem qualquer vínculo empregatício com a Universidade, sob a orientação de um professor. "
Quem rege o prolicen,"O PROLICEN será regido por regulamentação complementar da Câmara
Superior de Ensino.",Art. 115,
Quem pode participar do pet ,"O Programa de Educação Tutorial – PET destina-se a alunos regularmente
matriculados nos cursos de graduação da UFCG.",Art. 116,
Qual o objetivo do pet,"O Programa de Educação Tutorial na UFCG objetiva:
I – melhoria do ensino da graduação;
II – interdisciplinaridade, atuação coletiva, planejamento e execução de projetos em
grupos sob tutorias;
III – compreensão abrangente e aprofundada da área de estudos dos alunos.",Art. 117,
Qual o tipo de vínculo do pet,"O vínculo do aluno com o PET será estabelecido por meio de processo seletivo, nos termos da legislação federal.",Art. 118,"Parágrafo único. O bolsista exercerá suas atividades sem qualquer vínculo empregatício com a Universidade, sob a orientação de um tutor."
Quem rege o pet,O Programa será regido por regulamentação da Secretaria de Educação Superior do Ministério da Educação.,Art. 119,
Quem pode participar do ifes,"É facultada a alunos regularmente matriculados na UFCG a integralização
de créditos, por período fixado nos programas específicos, em IFES com quais a UFCG mantenha convênios.",Art. 120,"§ 1º Ao aluno, nestas condições, será assegurado o vínculo na Instituição, bem como
sua vaga no curso ao qual estiver vinculado.
§ 2º O período de afastamento por vínculo temporário do aluno com outra IFES será
computado no tempo máximo para integralização curricular fixado na resolução do curso.
§ 3º As disciplinas cursadas pelo aluno serão registradas no seu Histórico Acadêmico,
por ocasião do término do vínculo temporário, como dispensa ou atividade complementar a
critério da Pró-Reitoria de Ensino.
§ 4º O aluno reprovado em disciplina cursada em mobilidade acadêmica será desligado do programa."
"Perdi a matrícula, perco o ifes","Perderá o vínculo com a UFCG o aluno que, decorrido o prazo de afastamento, não efetuar matrícula em disciplinas no seu curso de origem no período letivo subseqüente.",Art. 121,
Quem rege o IFES,"A Mobilidade Acadêmica será regida por regulamentação complementar da
Câmara Superior de Ensino.",Art. 122,
Quem pode participar do programa de intercâmbio ,"O Programa de Intercâmbio Nacional e Internacional – PIANI destina-se a
alunos regularmente matriculados nos cursos de graduação da UFCG, que atendam aos requisitos, e que, necessariamente, participarão de processo seletivo.",Art. 123,
Qual o objetivo do PIANI,"Consideram-se como atividades objeto do PIANI aquelas de natureza acadêmica, sejam elas:
I – artístico culturais;
II – desportivas, ou 
III – científicas.",Art. 124,"Parágrafo único. As atividades a que se refere o caput deste artigo deverão ser supervisionadas por orientador na Instituição anfitriã, visando ao aprimoramento da formação do
aluno. "
Qual o tempo de duração do intercambio,"A participação do aluno em Programa de Intercâmbio, no âmbito do PIANI,
terá a duração máxima de doze meses consecutivos.",Art. 125,
Quais os tipos de atividade do intercambio,"As atividades acadêmicas realizadas no âmbito do PIANI, devidamente homologadas pelo Colegiado do Curso, serão registradas no Histórico Acadêmico do aluno da
seguinte forma:
I – como disciplinas integralizadas mediante dispensa, e
II – como atividades complementares no Programa de Intercâmbio.",Art. 126,
Tenho que fazer matrícula durante o intercambio,"Durante a participação no PIANI, deverá ser efetivada matrícula institucional do aluno. ",Art. 127,
Quem rege o PIANI,"O PIANI será regido por regulamentação específica da Câmara Superior de
Ensino.",Art. 128,
Trabalho na rede pública tenho acesso aos cursos da UFCG,"O Programa Estudante Convênio Rede Pública – PEC-RP destinar-se-á ao ingresso de professores da educação básica (educação infantil, ensino fundamental e ensino médio), pertencentes a instituições públicas de ensino, para realização de Cursos de Licenciatura,
mediante celebração de convênios ou de termo aditivo aos convênios firmados entre a UFCG e
as respectivas Secretarias de Educação.",Art. 129,"Parágrafo único. O ingresso a que se refere o caput deste artigo dar-se-á por meio de
processo seletivo realizado pela UFCG, nos termos do disposto em Resolução da Câmara Superior de Ensino."
Quem regulamenta a entrada de profissionais para cursos de licenciatura ,"A Comissão Permanente de Processo Vestibular – COMPROV é o órgão responsável pela execução do processo seletivo do PEC-RP, em todas as suas fases.",Art. 130,
Posso escolher mais de um curso para me especializar,"No ato da inscrição, o candidato deverá escolher apenas 01(um) curso e seu
respectivo turno e campus.",Art. 131,"Parágrafo único. O cadastramento é obrigatório, sob pena da perda do direito aos resultados obtidos no processo seletivo do PEC-RP."
Qual tempo que posso permanecer no curso  através do programa,O aluno PEC-RP deverá permanecer em efetivo exercício do Magistério e atuando em sala de aula durante o tempo em que estiver vinculado ao Programa.,Art. 132,"Parágrafo único. Para comprovação do atendimento do caput deste artigo, o estudante
deverá apresentar documentação exigida, nos termos da resolução específica, ao Coordenador do
Curso, no ato de cada matrícula em disciplinas."
Preciso fazer matrícula enquanto estou participando do PEC-RP,"Além dos casos previstos nas normas vigentes na UFCG, será desvinculado do
curso em que está matriculado o aluno do PEC-RP que:
I – não realizar a matrícula em disciplinas em qualquer período letivo;
II – deixar de satisfazer às exigências expressas em resolução específica.",Art. 133,
Em que casos perco o vínculo do programa de professor ,"Além dos casos previstos nas normas vigentes na UFCG, será desvinculado do
curso em que está matriculado o aluno do PEC-RP que:
I – não realizar a matrícula em disciplinas em qualquer período letivo;
II – deixar de satisfazer às exigências expressas em resolução específica.",Art. 134,
Quem rege o PEC-RP,O PEC-RP será regido por regulamentação complementar da Câmara Superior de Ensino.,Art. 135,
A quem destina se o PEC-G,"Destina-se a estudantes estrangeiros com cujos países o Brasil mantenha relações diplomáticas e sejam signatários de protocolo internacional efetivado pelo Ministério
das Relações Exteriores.",Art. 136,"Parágrafo único. Os estudantes vinculados ao PEC-G estão dispensados de participar
do processo seletivo vestibular, dentro do limite de vagas especialmente oferecidas pela Universidade."
Quem comunica o número de vagas ofertadas pelo PEC-G ,Compete ao Coordenador do Curso comunicar à CPE da Pró-Reitoria de Ensino o limite de vagas a serem ofertadas.,Art. 137,"Parágrafo único. A Coordenação de Programa e Estágios comunicará à SESu/MEC,
que autorizará formalmente a matrícula de alunos no curso designado."
Sou estrangeiro e quero participar do programa de licenciatura o que precisa,"A matrícula inicial do estudante convênio somente será efetivada mediante a
apresentação dos seguintes documentos:
a) passaporte com registro de visto temporário;
b) carta de apresentação da Embaixada do Brasil dirigida a Universidade Federal de
Campina Grande;
c) certidão de nascimento, devidamente legalizada pela autoridade consular brasileira;
d) certificado de conclusão do ensino médio ou equivalente;
e) cópia da declaração compromisso sobre as condições gerais do Programa de Estudante Convênio;
f) fotografia 3x4.",Art. 138,"Parágrafo único. A documentação apresentada relativa à conclusão do ensino médio
será isenta de tradução juramentada e revalidação, quando endossada pela embaixada brasileira no país do estudante-convênio."
Para as demais matrículas no PEC-G preciso de quais documentos ,"Para matrículas subsequentes, o aluno deverá apresentar, à Coordenação do
Curso, a autorização da Coordenação de Programas e Estágios da Pró-Reitoria de Ensino,
após comprovar a renovação de visto temporário no Departamento de Polícia Federal, com
validade de um ano.",Art. 139,
Como posso ser desligado do PEC-G,"Será desligado do Programa, o estudante convênio que:
I – após o primeiro ano de estudos, for reprovado duas vezes na mesma disciplina;
II – após o primeiro ano de estudos, for reprovado em mais de duas disciplinas no
mesmo período letivo;
III – trancar matrícula com interrupção de estudos, exceto por motivo de saúde, devidamente comprovado;
IV – deixar de efetivar a matrícula ou abandonar os estudos;
V – envolver-se em atividades ilegais de qualquer natureza;
VI – ingressar em curso desta Universidade, mediante classificação em Concurso Vestibular.",Art. 140,
"Se sou estudante convênio, posso concluir o curso em mais tempo","Considerado, por natureza, um aluno especial, o estudante convênio deverá,
obrigatoriamente, concluir seu curso num período não superior à média dos prazos mínimo e
máximo fixados para integralização do currículo do curso.",Art. 141,"Parágrafo único. Caso esse limite seja atingido antes da conclusão do curso, o estudante convênio será automaticamente desligado do Programa."
Caso eu me desligue posso transferir ,"Ocorrendo o desligamento, a Universidade comunicará o fato ao órgão do
Ministério da Educação encarregado da Coordenação do Programa de Estudantes Convênio,
sendo vedada a expedição de guia de transferência para outra Instituição de Ensino Superior.",Art. 142,
Posso fazer pedido de transferencia de estudante convenio ,"A UFCG poderá receber pedidos de transferência de estudantes convênio de
outras Instituições de Ensino Superior do País, observadas as seguintes condições:
I – existência de vaga dentre as ofertadas ao Programa de Estudantes Convênio no ano
da solicitação;
II – ter o estudante concluído o primeiro ano de estudos na Instituição de origem.",Art. 143,"§ 1º A transferência para esta Universidade somente será permitida para o mesmo curso para o qual o estudante convênio foi selecionado na Instituição de origem. 
§ 2º Não será permitida a transferência de estudantes de Instituição de Ensino Superior
Estrangeira para a Universidade, na condição de estudante convênio, salvo em casos previstos
em convênios interuniversitários."
O que eu preciso pra pedir transferencia de estudante convenio,"O estudante convênio que pretender transferência da UFCG para outra Instituição de Ensino Superior do país deverá, além da declaração de vaga, apresentar comprovante de que a Instituição é participante do Programa de Estudantes Convênio.",Art. 144,
Eu como estudante convenio posso aproveitar cadeiras,"Ao estudante convênio não será concedido o aproveitamento de estudos em
disciplinas cursadas anteriormente em Instituições de Ensino Superior Estrangeira, salvo em
casos previstos em convênios interuniversitários.",Art. 145,
Meu diploma como estudante convenio será expedido de acordo com que país,"O diploma do estudante convênio será expedido com menção do Acordo
Cultural firmado entre o Brasil e o país de origem do titular.",Art. 146,
Como estudante convenio posso trabalhar,"O estudante convênio não poderá exercer atividades remuneradas, exceto
aquelas vinculadas às suas atividades acadêmicas e curriculares.",Art. 147,
Como estudante convenio obedeco as regras da UFCG,"Além das normas estabelecidas neste Regulamento, nos Acordos Culturais e
no Protocolo do PEC, o estudante convênio deverá, também, submeter-se às exigências estatutárias e regimentais da UFCG, bem como à sua legislação complementar.",Art. 148,
